question_id;question_ru;question_kk;question_en;answer_1_id;answer_1_ru;answer_1_kk;answer_1_en;answer_1_correct;answer_2_id;answer_2_ru;answer_2_kk;answer_2_en;answer_2_correct;answer_3_id;answer_3_ru;answer_3_kk;answer_3_en;answer_3_correct
11;Почему является проблемой то, что две версии теста не одинаковы?;Тесттің екі нұсқасының бір-біріне ұқсамауы неліктен мәселе болып табылады?;Why is it a problem that the two versions of the test are not the same?;1;В двух тестах используются разные типы вопросов и требуются разные уровни мышления.;Екі тестте түрлі типтегі сұрақтар қолданады және түрлі ойлау деңгейлерін қажет етеді.;The two tests use different types of questions and ask for different thinking.;1;2;В одном тесте используются более сложные слова и грамматика.;Бір тестте күрделі сөздер мен грамматика қолданылады.;One test uses more difficult words and grammar.;0;3;Тесты разработаны разными учителями и не используют единый формат и уровень.;Тест әртүрлі мұғалімдермен әзірленген және бірыңғай формат пен деңгейге қолданбайды;Different teachers made the tests and did not use the same format or level.;0
12;Почему учителя выставляют разные оценки за групповую презентацию?;Мұғалімдер топтық таныстырылымға неге әртүрлі баға қояды?;Why do teachers give different scores for the group presentation?;1;Форма оценивания неясная и не показывает, на что нужно обращать внимание.;Бағалау формасы түсініксіз және неге назар аудару керектігі көрсетілмеген.;The scoring form is not clear and does not show what to look for.;1;2;В форме оценивания используются нечеткие формулировки для описания хорошей или плохой работы.;Бағалау формасында жақсы немесе әлсіз жұмысты сипаттайтын түсініксіз тұжырымдар қолданылады.;The form has unclear words for good or bad work.;0;3;Форма оценивания не содержит примеры, которые могли бы помочь учителям.;Бағалау формасында мұғалімдерге көмек болатын мысалдар келтірілмеген.;The form does not give examples to help the teachers.;0
13;Почему раздел по биологии в тесте работает неэффективно?;Тесттегі биология бөлімі неге тиімсіз жұмыс істейді?;Why is the biology part of the test not working well?;1;В тесте используются слова, которые не изучались на уроках.;Тестте сабақта зерделенбеген сөздер қолданылады.;The test uses words that students did not learn in class.;0;2;Вопросы содержат сложные тексты для чтения, и неясно, проверяются ли знания по биологии.;Сұрақтарда оқу үшін күрделі мәтіндер берілген, ал нақты не бағаланып жатқаны түсініксіз.;The questions use hard reading, so it is not clear if it tests biology.;0;3;Вопросы с иллюстрациями проверяют чтение изображений, а не знания по биологии.;Иллюстрациялық сұрақтар биологиялық білімді емес, суретті оқу дағдысын тексереді.;The pictures test reading pictures, not biology.;1
14;Почему некоторые вопросы про еду и семью несправедливы?;Тамақ және отбасы туралы кейбір сұрақтар неліктен әділетсіз?;Why are some questions about food and family not fair?;1;Тексты слишком длинные и требуют много времени на чтение.;Мәтіндер тым ұзақ және оқуға көп уақыт кетеді.;The texts are too long and take too much time to read.;0;2;Примеры не соответствуют культуре всех учеников.;Мысалдар барлық оқушылардың мәдениеттеріне сәйкес келмейді.;The examples do not match the background of all students.;0;3;Вопросы используют примеры только из одной культуры.;Сұрақтарда тек бір мәдениеттің мысалдарын қолданады.;The questions use examples from only one culture.;1
15;Что показывает не соответствие теста целям обучения?;Тесттің оқу мақсаттарына сәйкес еместігін не көрсетеді?;What shows that the test does not match the learning goals?;1;Ученикам не объяснили, как тест поможет им достичь целей.;Оқушыларға тесттің оқу мақсаттарына жетуге қалай көмектесетіні түсіндірілмеген.;Students were not told how the test helps them reach the goals.;0;2;Вопросы теста не основаны на целях обучения.;Тест сұрақтары оқу мақсаттарына негізделмеген.;The test questions are not based on the learning goals.;0;3;Тест проверяет только запоминание, но цели направлены на развитие мышления.;Тест тек есте сақтауды тексереді, ал оқу мақсаттары ойлауды дамытуға бағытталған.;The test only checks memory, but the goals ask for thinking.;1
16;Что указывает на то, что при разработке теста не были соблюдены все восемь шагов?;Тестті әзірлеу кезінде барлық сегіз қадам орындалмағанын не көрсетеді?;What shows that the test was not fully made using the eight steps?;1;В тесте представлены разные типы вопросов и охвачено много навыков.;Тестте сұрақтардың әртүрлі типтері және көптеген дағдылар қамтылған.;The test has different kinds of questions and covers many skills.;0;2;Отсутствует объяснение соответствие вопросов с целями обучения.;Сұрақтардың оқу мақсаттарымен сәйкестігі түсіндірілмейді.;There is no explanation of how the questions match the learning goals.;1;3;Тест был проверен на наличие ошибок, но вопросы не были тщательно проверены.;Тесттегі қателіктер тексерілген, бірақ сұрақтар мұқият тексерілмеген.;The test was checked for mistakes, but the questions were not reviewed properly.;0
17;Что указывает на то, что тест не является достаточно сбалансированным?;Тест жеткілікті теңдестірілген емес екенін не көрсетеді?;What shows that the test is not well balanced?;1;Большинство вопросов — письменные, отсутствуют разделы на говорение и аудирование.;Сұрақтардың көпшілігі жазбаша, тыңдау және сөйлеу бөлімдері жоқ.;Most questions are written: there are no listening or speaking parts.;0;2;В тесте используются только письменные задания, даже для говорения и аудирования.;Тестте тек жазбаша тапсырмалар қолданады, сөйлеу мен тыңдау үшін де.;The test uses only written tasks, even for speaking and listening.;1;3;Тест начинается с множества простых вопросов с выбором ответа.;Тест көптеген қарапайым жабық сұрақтардан басталады.;The test starts with many easy multiple-choice questions.;0
18;Почему использование обратной связи от сверстников в качестве итоговой оценки является проблемой?;Неліктен сыныптастардың кері байланысы қорытынды баға ретінде қолдану мәселе болып табылады?;Why is it a problem to use peer feedback as a final grade?;1;Обратная связь от сверстников неформальна и не входит в официальные правила оценивания.;Сыныптастардың кері байланысы бейресми болып табылады, ресми бағалау ережесіне кірмейді.;Peer feedback is informal and not part of the real scoring rules.;1;2;Ученики не обучены правильному использованию рубрик.;Оқушылар бағалау рубрикасын дұрыс қолдануды үйренбеген.;Students did not learn how to use the rubric correctly.;0;3;Учителям не разрешается давать ученикам возможность выставлять оценки.;Мұғалімдерге оқушыларға баға қоюға мүмкіндік беруге тыйым салынады.;Teachers are not allowed to let students give grades.;0
19;Что показывает на несоответствие тестов уровням мышления в целях обучения?;Тесттің оқу мақсаттарындағы ойлау деңгейлеріне сәйкес еместігін не көрсетеді?;What shows that the test does not match the thinking levels in the goals?;1;Вопросы только на грамматику с правильными или неправильными ответами.;Сұрақтар тек грамматикаға қатысты және дұрыс/дұрыс емес жауапты талап етеді.;The questions only ask for grammar with right or wrong answers.;0;2;Тест разработан на навыки мышления, но проверяет лишь факты или грамматику.;Тест ойлау дағдыларына әзірленген, бірақ тек фактілер немесе грамматиканы тексереді.;The test says it checks thinking, but only asks for facts or grammar.;1;3;Учителя используют уровни Блума при планировании, но не для тестов.;Мұғалімдер Блум таксономиясын жоспарлауға қолданады, бірақ тесттерге қолданбайды.;Teachers use Bloom’s levels when planning, but not for the test.;0
20;Какая проблема затрудняет использование тестовой матрицы для проверки качества?;Сапаны тексеру үшін тест матрицасын қолдануға не қиындық тудырады?;What problem makes the test matrix hard to use for checking quality?;1;В матрице указаны темы, но не показано, каким целям обучения они соответствуют.;Матрицада тақырыптар көрсетіледі, бірақ олардың қандай оқу мақсаттарына сәйкес келетіні көрсетілмейді.;The matrix shows topics, but not which learning goals they match.;0;2;В матрице не указаны уровни мышления или важность каждого раздела теста.;Матрицада ойлау деңгейлері немесе әр бөлімнің маңыздылығы көрсетілмейді.;The matrix does not show thinking levels or how important each part is.;0;3;В матрице используются цвета, а не цифры для уровней вопроса.;Матрицада сұрақ деңгейлеріндегі сандардың орнына түстер қолданылады.;The matrix uses colours instead of numbers for question levels.;1
21;Какая проблема показывает, что тестовый вопрос несправедливый или непонятный?;Тест сұрағының әділетсіз немесе түсініксіз екенін қандай мәселе көрсетеді?;Which problem shows that a test question is not fair or clear?;1;Вопрос требует рассказать личную историю, но не говорится как выставляются баллы.;Сұрақта жеке оқиғаны айтуды сұралады, бірақ балл қалай қойылатындығы айтылмайды.;The question asks for personal stories but does not say how to give points.;1;2;Вопрос смешивает мнение и факт, но отсутствуют правила оценивания.;Сұрақта пікір мен факт аралас берілген, бірақ бағалау ережелері жоқ.;The question mixes opinion and fact, but there are no rules for scoring.;0;3;Вопрос использует сложные слова, которые ученики не знают.;Сұрақта оқушылар білмейтін күрделі сөздер қолданады.;The question uses difficult words that students do not know.;0
22;Почему вопросы с выбором ответа не подходят для оценки реальных навыков?;Неліктен жабық сұрақтар шынайы дағдыларды бағалауға жарамсыз?;Why are the multiple-choice questions not good for checking real skills?;1;Вопросы проверяют только факты и не требуют от учеников применения знаний.;Сұрақтар тек фактіні тексереді және оқушылардан білімін қолдануды талап етпейді.;They only test facts and do not ask students to use what they know.;1;2;Варианты ответов не соответствуют вопросу и путают учеников.;Жауап нұсқалары сұраққа сәйкес келмейді және оқушыларды шатастырады.;The answer choices do not fit the question and confuse students.;0;3;В вопросах используются сложные слова из других школьных предметов.;Сұрақтарда басқа пәндердің күрделі сөздерін қолданады.;The questions use difficult words from other school subjects.;0
23;Что свидетельствует о том, что открытый вопрос не является хорошим для обучения?;Ашық сұрақтың оқыту үшін тиімсіздігін не көрсетеді?;What shows that an open question is not good for learning?;1;Вопрос говорит о странной ситуации без реальных людей или места.;Сұрақта шынайы адамдарсыз немесе орны көрсетілмеген, оғаш жағдай сипатталған.;The question talks about a strange situation with no real people or place.;0;2;Вопрос не говорит, что ученики должны написать или как они будут оцениваться.;Сұрақта оқушы не жазатыны немесе қалай бағаланатыны көрсетілмеген.;The question does not say what students must write or how they get points.;1;3;Вопрос требует использовать цифровые инструменты, которые ученики не изучали в классе.;Сұрақта сыныпта зерделенбеген цифрлық құралдарды қолдану талап етіледі.;The question asks students to use digital tools they did not learn in class.;0
24;Что свидетельствует о том, что тест не сбалансирован по предметам (язык, математика, логическое мышление)?;Тесттің пәндер бойынша (тіл, математика, логикалық ойлау) теңгерілмегенін не көрсетеді?;What shows that the test is not balanced between language, maths, and thinking?;1;В проекте предусмотрена только групповая работа, и нет заданий для одного студента.;Жобада тек топтық жұмыс қарастырылған, жеке тапсырмалар жоқ.;The project has only group work, and no tasks for one student.;0;2;Задания касаются письма и говорения, но не математики или решения проблем.;Тапсырмалар жазу мен сөйлеуге қатысты, бірақ математика немесе мәселе шешуге емес.;The tasks ask for writing and talking, but not for maths or problem-solving.;0;3;Большинство теста о языке. Отсутствуют задания для математики и логического мышления.;Тесттердің көпшілігі тіл туралы. Математика мен логикалық ойлау тапсырмалары жоқ.;Most of the test is about language. There are no maths or thinking tasks.;1
25;Что свидетельствует о том, что тестовые вопросы недостаточно усовершенствованы?;Тест тапсырмалары жеткілікті жетілдірілмегендігін не көрсетеді?;What shows that the test questions were not improved enough?;1;Учитель проверил вопросы, но никакие изменения не были внесены.;Мұғалім тапсырмаларды тексерген, бірақ ешқандай өзгеріс енгізілмеген.;A teacher checked the questions, but no changes were made.;1;2;Вопросы используют жизненные примеры, но требуют только запоминания.;Сұрақта өмірлік мысалдар қолданған, бірақ тек есте сақтауды талап етеді.;The questions use real-life examples but only ask for simple memory.;0;3;Ученики дали обратную связь, но она не помогла улучшить вопросы.;Оқушыларға кері байланыс берген, бірақ бұл сұрақтарды жақсартуға көмектеспеді.;Students gave feedback, but it did not help improve the questions.;0
26;Какая из идей отражает неправильное понимание результатов теста?;Қандай идеялар тест нәтижелерін қате түсінуді көрсетеді?;Which idea shows a wrong way to understand test results?;1;Учитель говорит, что баллы теста могут измениться из-за стресса или угадывания.;Мұғалім тест балдарының күйзеліс немесе болжау әсерінен өзгеруі мүмкін дейді;A teacher says test scores can change because of stress or guessing.;0;2;Учитель говорит, что баллы теста всегда точно показывают, насколько умен ученик.;Мұғалім тест балдары әрқашан оқушының қаншалықты зерек екенін нақты көрсетеді;A teacher says test scores always show exactly how smart a student is.;1;3;Учитель анализирует баллы теста и также учитывает другие причины для ошибок.;Мұғалім тест балдарын талдайды және қателесудің басқа себептерін ескереді.;A teacher looks at test scores and also thinks about other reasons for mistakes.;0
27;Какой способ является наилучшим для проверки и улучшения тестовых вопросов?;Тест сұрақтарын тексеру мен жетілдірудің ең жақсы жолы қандай?;Which is the best way to check and improve test questions?;1;Учитель вносит изменения в вопросы только на основе комментариев ученика.;Мұғалім сұрақтарды тек оқушылардың пікірі негізінде өзгертеді.;The teacher uses only student comments to change the questions.;0;2;Учитель удаляет вопросы только из-за низких чисел.;Мұғалім сұрақтарды статистикалық көрсеткіштердің тек төмен болуына байланысты жояды.;The teacher removes questions only because of low numbers.;0;3;Учитель смотрит данные и также использует обратную связь и комментарии класса.;Мұғалім деректерді қарайды, сондай-ақ кері байланыс пен сынып пікірін қолданады.;The teacher looks at the numbers and also uses feedback and class notes.;1
28;Что означает, если у вопроса P = 0.92, а Rir = 0.10?;Егер сұрақта P = 0.92 және Rir = 0.10 болса, бұл нені білдіреді?;What does a question with P = 0.92 and Rir = 0.10 tell us?;1;Вопрос имеет хорошую сложность и помогает выявить сильных учеников.;Сұрақ жақсы күрделілікке ие және мықты оқушыларды анықтауға көмектеседі.;The question has good difficulty and helps find strong students.;0;2;Вопрос слишком сложный и ученикам нужно больше времени.;Сұрақ тым күрделі және оқушыларға көбірек уақыт қажет.;The question is too hard and students need more time.;0;3;Вопрос слишком лёгкий и не показывает, кто хорошо справляется с вопросом.;Сұрақ тым жеңіл және кімнің сұрақты жақсы шешетінін көрсетпейді.;The question is too easy and does not show who is doing well.;1
29;Какая проблема в аудитории может ухудшить результаты теста?;Аудиториядағы қандай жағдай тест нәтижелерін нашарлатуы мүмкін?;Which problem in the room can make test results worse?;1;Ученики использовали собственные ручки и бумагу.;Оқушылар өз қаламдары мен қағаздарын пайдаланды.;Students used their own pens and paper.;0;2;В аудитории был громкий шум и плохое освещение.;Аудиторияда қатты шу мен нашар жарық болды.;The room had loud sounds and bad lighting.;1;3;В тесте были разные типы вопросов.;Тестте әртүрлі сұрақтар типтері болды.;The test had different types of questions.;0
30;Что указывает на то, что учителя не использовали результаты теста для улучшения теста?;Мұғалімдердің тестті жетілдіру үшін тест нәтижелерін қолданбағанын не көрсетеді?;Which shows that teachers did not really use the test results to improve?;1;Тест лидер проверил баллы вопросов и изменил слабые вопросы.;Тест басшысы сұрақ балдарын тексерді, әлсіз сұрақтарды өзгертті.;The test leader checked question scores and changed weak questions.;0;2;Учителя посмотрели баллы до и после теста, чтобы увидеть прогресс.;Мұғалімдер прогресті көру үшін тестке дейінгі және кейінгі балдарды қарады.;Teachers looked at pre- and post-test scores to see progress.;0;3;Команда только сложила баллы учащихся и больше ничего не делала.;Команда оқушының тек балдарын жинақтап, басқа ештеңе істемеді.;The team only added student scores and did nothing else.;1
31;Какая проблема может возникнуть, когда учителя переводят баллы в проценты без четких правил?;Мұғалімдер нақты ережесіз балды пайызға айналдырғанда қандай мәселе туындауы мүмкін?;What problem can happen when teachers turn scores into percentages without clear rules?;1;Ученики знают свои баллы, но не знают какой это уровень.;Оқушылар өз балын біледі, бірақ бұл қандай деңгей екенін білмейді.;Students know their score but do not know what level that means.;1;2;Проценты легче понять, чем баллы.;Балға қарағанда пайызды түсіну оңай.;Percentages are easier to understand than points.;0;3;Все ученики получают баллы из 100, но тесты имеют разные общие баллы.;Барлық оқушылар балды 100 балл ішінен алады, бірақ тестте әртүрлі жалпы балл болады.;All students get scores out of 100, but the tests had different total points.;0
32;Что указывает на проблему в том, как оценки помогают учащимся понимать свое обучение?;Баға оқушыға өз оқуын түсінуге қалай көмектесетіні жайында мәселені не көрсетеді?;What shows a problem in how grades help students understand their learning?;1;Оценки выставляются компьютером, но ученики не видят, как посчитаны баллы.;Бағаны компьютер қояды, бірақ оқушы балдың қалай есептелгенін көрмейді.;Grades are given by a computer, but students don’t see how the score was made.;0;2;Учащиеся получают оценку, но они не знают, как она связана с целями обучения.;Оқушылар баға алады, бірақ оның оқу мақсаттарымен байланысын білмейді.;Students get a grade, but they don’t know how it links to the learning goals.;1;3;В школе используется шкала от 1 до 10.;Мектепте 1-ден 10-ға дейінгі шәкіл қолданылады.;The school uses a 1 to 10 scale.;0
33;Что указывает на отсутствие четкого правила, определяющего, что нужно ученикам для прохождения порога?;Оқушылардың өту шегі үшін не қажет екенін анықтайтын нақты ереженің жоқтығын не көрсетеді?;What shows there is no clear rule for what students need to pass?;1;Ученики думают о своих личных целях.;Оқушылар өздерінің жеке мақсаттары туралы ойлайды.;Students think about their own goals.;0;2;Учителя говорят о результатах ученика на совещании.;Мұғалімдер жиналыста оқушының нәтижелері туралы айтады.;Teachers talk about student results in a meeting.;0;3;Проходной балл 55%, но он не связан с какими-либо навыками или целями.;Өту балы 55%, бірақ ол ешқандай дағдылармен немесе мақсаттармен байланысты емес.;The passing score is 55%, but this is not linked to any skill or goal.;1
34;Что показывает, что учителя выбирают проходной балл без чёткой методики?;Мұғалімдердің өту балын нақты әдістемесіз таңдағанын не көрсетеді?;What shows that teachers choose the passing score without a clear method?;1;Команда использует известный метод и объясняет, как они выбрали балл.;Команда белгілі әдісті қолданады және балды қалай таңдағанын түсіндіреді.;The team uses a known method and explains how they chose the score.;0;2;Учителя используют средний балл прошлого года для установления проходного балла.;Мұғалімдер өту балын белгілеу үшін өткен жылдың орташа балын қолданады.;Teachers use the average score from last year to set the pass mark.;1;3;Школа советуется с экзаменационным советом, но не использует какую-либо утвержденную методику.;Мектеп емтихан кеңесімен кеңеседі, бірақ бекітілген әдістемені қолданбайды.;The school talks to exam boards, but does not use any set method.;0
35;Что показывает об отсутствии реального объяснения для проходного балла в этой системе?;Бұл жүйеде өту ұпайы үшін нақты түсіндірудің жоқтығы туралы не көрсетеді?;What shows there is no real explanation for the pass score in this system?;1;Балл объяснен в школьном руководстве и поддерживается учителями.;Балл мектеп нұсқаулығында түсіндірілген және оны мұғалімдер қолдайды.;The score is explained in the school guide and supported by teachers.;0;2;Учителя говорят «мы всегда делали так» как единственную причину.;Мұғалімдер жалғыз себеп ретінде "Біз әрқашан осылай жасадық" дейді.;Teachers say “we’ve always done it like this” as the only reason.;1;3;Балл корректируется после просмотра того, как ученики выполнили тест.;Балл оқушылардың тестті қалай орындағанын қарастырғаннан кейін түзетіледі.;The score is changed after looking at how students did on the test.;0
36;Какая ситуация показывает, что учитель не понимает, как правильно использовать рубрику?;Қандай жағдаят мұғалімнің рубриканы дұрыс қолдануды түсінбейтінін көрсетеді?;Which situation shows the teacher does not understand how to use a rubric well?;1;Учитель использует рубрику для выставления баллов, но не объясняет её ученикам.;Мұғалім рубриканы балл қою үшін қолданады, бірақ оны оқушыларға түсіндірмейді.;The teacher gives scores with the rubric but does not explain it to students.;1;2;Учитель выдаёт рубрику ученикам до начала выполнения задания.;Мұғалім рубриканы оқушыларға тапсырманы орындаудың алдында береді.;The teacher gives the rubric to students before they start the task.;0;3;Учитель связывает рубрику с целями обучения.;Мұғалім рубриканы оқу мақсаттарымен байланыстырады.;The teacher links the rubric to the learning goals.;0
37;Какая проблема показывает, что рубрика непонятна для учеников?;Оқушылар үшін рубриканың түсініксіз екенін қандай мәселе көрсетеді?;Which problem shows that the rubric is not clear for students?;1;В рубрике используются такие слова, как «хорошо» или «достаточно», но не говорится что они означают.;Рубрикада «жақсы» немесе «жеткілікті» сияқты сөздер қолданылады, бірақ олардың нені білдіретіні айтылмайды.;The rubric uses words like “good” or “enough,” but does not say what they mean.;1;2;В рубрике указаны уровни для начинающих и продвинутых на основе возраста ученика.;Рубрикада бастапқы және ілгері деңгейлер оқушының жасына негізделіп көрсетілген.;The rubric has levels for beginner and advanced, based on student age.;0;3;Уровни в рубрике трудно различить.;Рубрика деңгейлерін ажырату қиын.;The levels in the rubric are hard to tell apart.;0
38;Какая ситуация показывает, что обратная связь не связана с рубрикой?;Кері байланыс рубрикамен байланысты емес екенін қандай жағдаят көрсетеді?;Which situation shows that the feedback is not linked to the rubric?;1;Учитель пишет комментарии, используя слова из рубрики.;Мұғалім түсіндірмені рубрикадағы сөздерді пайдаланып жазады.;The teacher writes comments that use the rubric words.;0;2;Учитель только говорит, что неправильно, а не как улучшить.;Мұғалім тек дұрыс емес екенін айтады, қалай жақсартуға болмайтынын айтпайды.;The teacher only says what is wrong and not how to improve.;1;3;Ученики используют рубрику, когда дают друг другу обратную связь.;Оқушылар бір-біріне кері байланыс берген кезде рубриканы қолданады.;Students use the rubric when they give each other feedback.;0
39;Что показывает, что рубрика не используется по-разному для разных учеников?;Рубриканың әртүрлі оқушылар үшін әртүрлі қолданбайтындығын не көрсетеді?;Which shows the rubric is not used in different ways for different students?;1;Все ученики получают одинаковое задание и одинаковую рубрику, независимо что им нужно.;Барлық оқушылар не қажет болса да, бірдей тапсырма және бірдей рубрика алады.;All students get the same task and the same rubric, no matter what they need.;1;2;Ученики используют разные разделы одинаковой рубрики в зависимости от их уровня.;Оқушылар өз деңгейіне қарай рубриканың әртүрлі бөлімдерін қолданады.;Students use different parts of the same rubric, based on their level.;0;3;Некоторым ученикам предоставляется дополнительное время на чтение и использование рубрики.;Кейбір оқушыларға рубриканы оқуға және қолдануға қосымша уақыт беріледі.;Some students get extra time to read and use the rubric.;0
